sample_id,population_name,population_abbreviation,latitude,longitude,ecotype,habitat_domain,local_terrain_elevation_m,local_terrain_elevation_m__status,local_terrain_elevation_m__unit,local_terrain_elevation_m__axis,local_terrain_elevation_m__source,local_terrain_elevation_m__source_version,local_terrain_elevation_m__method,local_terrain_elevation_m__scale_m,local_terrain_elevation_m__retrieved_at_utc,local_terrain_elevation_m__checksum_sha256,local_terrain_elevation_m__diagnostics,local_terrain_slope_deg,local_terrain_slope_deg__status,local_terrain_slope_deg__unit,local_terrain_slope_deg__axis,local_terrain_slope_deg__source,local_terrain_slope_deg__source_version,local_terrain_slope_deg__method,local_terrain_slope_deg__scale_m,local_terrain_slope_deg__retrieved_at_utc,local_terrain_slope_deg__checksum_sha256,local_terrain_slope_deg__diagnostics,local_terrain_relief_m,local_terrain_relief_m__status,local_terrain_relief_m__unit,local_terrain_relief_m__axis,local_terrain_relief_m__source,local_terrain_relief_m__source_version,local_terrain_relief_m__method,local_terrain_relief_m__scale_m,local_terrain_relief_m__retrieved_at_utc,local_terrain_relief_m__checksum_sha256,local_terrain_relief_m__diagnostics,upstream_drainage_area_km2,upstream_drainage_area_km2__status,upstream_drainage_area_km2__unit,upstream_drainage_area_km2__axis,upstream_drainage_area_km2__source,upstream_drainage_area_km2__source_version,upstream_drainage_area_km2__method,upstream_drainage_area_km2__scale_m,upstream_drainage_area_km2__retrieved_at_utc,upstream_drainage_area_km2__checksum_sha256,upstream_drainage_area_km2__diagnostics,height_above_drainage_m,height_above_drainage_m__status,height_above_drainage_m__unit,height_above_drainage_m__axis,height_above_drainage_m__source,height_above_drainage_m__source_version,height_above_drainage_m__method,height_above_drainage_m__scale_m,height_above_drainage_m__retrieved_at_utc,height_above_drainage_m__checksum_sha256,height_above_drainage_m__diagnostics,channel_width_m,channel_width_m__status,channel_width_m__unit,channel_width_m__axis,channel_width_m__source,channel_width_m__source_version,channel_width_m__method,channel_width_m__scale_m,channel_width_m__retrieved_at_utc,channel_width_m__checksum_sha256,channel_width_m__diagnostics,merit_elevation_m,merit_elevation_m__status,merit_elevation_m__unit,merit_elevation_m__axis,merit_elevation_m__source,merit_elevation_m__source_version,merit_elevation_m__method,merit_elevation_m__scale_m,merit_elevation_m__retrieved_at_utc,merit_elevation_m__checksum_sha256,merit_elevation_m__diagnostics,upstream_drainage_pixels,upstream_drainage_pixels__status,upstream_drainage_pixels__unit,upstream_drainage_pixels__axis,upstream_drainage_pixels__source,upstream_drainage_pixels__source_version,upstream_drainage_pixels__method,upstream_drainage_pixels__scale_m,upstream_drainage_pixels__retrieved_at_utc,upstream_drainage_pixels__checksum_sha256,upstream_drainage_pixels__diagnostics,flow_direction_d8,flow_direction_d8__status,flow_direction_d8__unit,flow_direction_d8__axis,flow_direction_d8__source,flow_direction_d8__source_version,flow_direction_d8__method,flow_direction_d8__scale_m,flow_direction_d8__retrieved_at_utc,flow_direction_d8__checksum_sha256,flow_direction_d8__diagnostics,water_body_mask,water_body_mask__status,water_body_mask__unit,water_body_mask__axis,water_body_mask__source,water_body_mask__source_version,water_body_mask__method,water_body_mask__scale_m,water_body_mask__retrieved_at_utc,water_body_mask__checksum_sha256,water_body_mask__diagnostics,log10_upstream_drainage_area,log10_upstream_drainage_area__status,log10_upstream_drainage_area__unit,log10_upstream_drainage_area__axis,log10_upstream_drainage_area__source,log10_upstream_drainage_area__source_version,log10_upstream_drainage_area__method,log10_upstream_drainage_area__scale_m,log10_upstream_drainage_area__retrieved_at_utc,log10_upstream_drainage_area__checksum_sha256,log10_upstream_drainage_area__diagnostics,local_terrain_gradient,local_terrain_gradient__status,local_terrain_gradient__unit,local_terrain_gradient__axis,local_terrain_gradient__source,local_terrain_gradient__source_version,local_terrain_gradient__method,local_terrain_gradient__scale_m,local_terrain_gradient__retrieved_at_utc,local_terrain_gradient__checksum_sha256,local_terrain_gradient__diagnostics
S0001,Barents Sea pelagic,BAR,72.5801,37.0803,marine,marine,,not_applicable,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:01:53+00:00,463ab8c48f38ef4b299d74d39ae064ea055c8d80f68cb49a109c41a820c12c83,,,not_applicable,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:01:53+00:00,463ab8c48f38ef4b299d74d39ae064ea055c8d80f68cb49a109c41a820c12c83,,,not_applicable,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:01:53+00:00,463ab8c48f38ef4b299d74d39ae064ea055c8d80f68cb49a109c41a820c12c83,,,not_applicable,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",,not_applicable,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:01:53+00:00,463ab8c48f38ef4b299d74d39ae064ea055c8d80f68cb49a109c41a820c12c83,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0002,Pulmankijaervi (Kevo),PUL2,69.5856,27.5854,freshwater,freshwater,308.9638671875,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-07T23:53:42+00:00,2ab8c0b75c72726cfb936e3017b449d1c8eb081d535a56cd61d6f51b02dc3c56,,0.8052772411679643,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-07T23:53:42+00:00,2ab8c0b75c72726cfb936e3017b449d1c8eb081d535a56cd61d6f51b02dc3c56,,0.885833740234375,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-07T23:53:42+00:00,2ab8c0b75c72726cfb936e3017b449d1c8eb081d535a56cd61d6f51b02dc3c56,,0.006015514023602009,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,5.100006103515625,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,310.70001220703125,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,2.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,8.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0026046781382889597,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.014055664760449721,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-07T23:53:42+00:00,2ab8c0b75c72726cfb936e3017b449d1c8eb081d535a56cd61d6f51b02dc3c56,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0028,Unnamed5_northwest_of_Skagafjörður,ISI,66.11091,-20.09427,marine-freshwater,transition,-1.0,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:03+00:00,3c2c241910db383bcdf8dd6e092b7421adef25d6c2e0612481b3a0644b43c16d,,1.049001057780942,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:03+00:00,3c2c241910db383bcdf8dd6e092b7421adef25d6c2e0612481b3a0644b43c16d,,0.9420896917581558,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:03+00:00,3c2c241910db383bcdf8dd6e092b7421adef25d6c2e0612481b3a0644b43c16d,,0.00349068664945662,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,32.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.001513346175254757,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.018310568273872393,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:03+00:00,3c2c241910db383bcdf8dd6e092b7421adef25d6c2e0612481b3a0644b43c16d,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0031,Hópsvatn,ISU_ISUB,66.0693,-19.14021,freshwater,freshwater,0.09950569272041321,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:07+00:00,9d0d3def68e28e6f587a588b1e578981a75c87a16b7092013b4a3167a9310367,,0.6760813436479807,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:07+00:00,9d0d3def68e28e6f587a588b1e578981a75c87a16b7092013b4a3167a9310367,,0.582215279340744,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:07+00:00,9d0d3def68e28e6f587a588b1e578981a75c87a16b7092013b4a3167a9310367,,,no_valid_data,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.011800393144282854,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:07+00:00,9d0d3def68e28e6f587a588b1e578981a75c87a16b7092013b4a3167a9310367,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0050,Lake Verkhneye Morzhovoe,VEMO,65.53083,34.70589,freshwater,freshwater,4.911632537841797,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:12+00:00,0f7654bd5208cec50382b6d6e770dba8ece6098606c841d9638b2d93b99ec860,,0.782947816587196,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:12+00:00,0f7654bd5208cec50382b6d6e770dba8ece6098606c841d9638b2d93b99ec860,,1.0290312767028809,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:12+00:00,0f7654bd5208cec50382b6d6e770dba8ece6098606c841d9638b2d93b99ec860,,0.4534260034561157,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,210.70750427246094,ok,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,3.9000000953674316,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,127.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.1623929259525193,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.013665867902793512,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:12+00:00,0f7654bd5208cec50382b6d6e770dba8ece6098606c841d9638b2d93b99ec860,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0067,Kazachka,KAZ,64.71699,177.50497,marine,marine,,not_applicable,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:31+00:00,a33c579b0eb6363062753275e3b67bcb7d70034aadb0db00f2eba5f188038c22,,,not_applicable,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:31+00:00,a33c579b0eb6363062753275e3b67bcb7d70034aadb0db00f2eba5f188038c22,,,not_applicable,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:31+00:00,a33c579b0eb6363062753275e3b67bcb7d70034aadb0db00f2eba5f188038c22,,,not_applicable,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,not_applicable,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",,not_applicable,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:31+00:00,a33c579b0eb6363062753275e3b67bcb7d70034aadb0db00f2eba5f188038c22,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0084,Qasigiannguit,QAS,64.08018,-51.01237,freshwater,freshwater,72.43993377685547,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:34+00:00,76660f3f9d26f371f2e5d2781ade45a07af4aa25d979c98b3150c234241c029d,,2.421551653998764,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:34+00:00,76660f3f9d26f371f2e5d2781ade45a07af4aa25d979c98b3150c234241c029d,,3.2900772094726562,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:34+00:00,76660f3f9d26f371f2e5d2781ade45a07af4aa25d979c98b3150c234241c029d,,1.4090116024017334,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,35.0,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,374.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,32.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.38183889167410734,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.042289232080142736,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:34+00:00,76660f3f9d26f371f2e5d2781ade45a07af4aa25d979c98b3150c234241c029d,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0091,Ölfusá,ISAY,63.89123,-21.30293,freshwater,freshwater,0.0,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:37+00:00,30a4ec51c3377da62f8ad667c2d045e7d53b469b3feea56b48c21f364f8cf741,,0.8110425019472526,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:37+00:00,30a4ec51c3377da62f8ad667c2d045e7d53b469b3feea56b48c21f364f8cf741,,0.7749649286270142,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:37+00:00,30a4ec51c3377da62f8ad667c2d045e7d53b469b3feea56b48c21f364f8cf741,,0.18581204116344452,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,2.4000000953674316,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,49.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.07401585601424844,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.014156307565174435,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:37+00:00,30a4ec51c3377da62f8ad667c2d045e7d53b469b3feea56b48c21f364f8cf741,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0093,Christiansen Lake,CHRIS,62.3147,-150.0625,freshwater,freshwater,120.4051284790039,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:40+00:00,dc669ab31863253b4a9bc51322003adb7be9a815292b65b24a02fd4e4f87438c,,3.8101797550446648,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:40+00:00,dc669ab31863253b4a9bc51322003adb7be9a815292b65b24a02fd4e4f87438c,,4.4898223876953125,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:40+00:00,dc669ab31863253b4a9bc51322003adb7be9a815292b65b24a02fd4e4f87438c,,0.004002679605036974,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.5,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,117.30000305175781,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,8.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.001734871908729886,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.06659838287653598,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:40+00:00,dc669ab31863253b4a9bc51322003adb7be9a815292b65b24a02fd4e4f87438c,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
S0097,Lake Onega,ONEG,61.75867,34.46461,freshwater,freshwater,31.5,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:43+00:00,ead2500dd136bd6c05add4745d4a7913182a028d747eb41bce34fe84ef5df25c,,1.7339261819181766,ok,degree,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:43+00:00,ead2500dd136bd6c05add4745d4a7913182a028d747eb41bce34fe84ef5df25c,,3.4028587341308594,ok,m,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:43+00:00,ead2500dd136bd6c05add4745d4a7913182a028d747eb41bce34fe84ef5df25c,,0.020381977781653404,ok,km2,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,4.5,ok,m,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,,no_valid_data,m,hydrodynamics,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,36.5,ok,m,topography,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,5.0,ok,count,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,64.0,ok,D8 code,hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,1.0,ok,category,habitat_geometry,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,,0.008762779397670235,ok,log10(1+km2),hydrology,MERIT/Hydro/v1_0_1,v1_0_1,Earth Engine point sample,90.0,,,"{""derivation"":""log10(1 + upstream_drainage_area_km2)""}",0.030271962772124263,ok,rise/run,topography,Copernicus DEM GLO-30,,cached 3x3 window,30.0,2026-09-08T00:02:43+00:00,ead2500dd136bd6c05add4745d4a7913182a028d747eb41bce34fe84ef5df25c,"{""derivation"":""tan(local_terrain_slope_deg); not channel gradient""}"
