sample_id,latitude,longitude,osm_query_date,query_radius_m,query_source,query_parameters,candidate_count,selected_osm_type,selected_osm_id,selected_osm_tags,water_feature_class,match_method,match_distance_m,manual_review,failure_diagnostics
S0001,72.5801,37.0803,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 72.5801, ""lon"": 37.0803, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C72.5801%2C37.0803%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C72.5801%2C37.0803%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C72.5801%2C37.0803%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0002,69.5856,27.5854,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 69.5856, ""lon"": 27.5854, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C69.5856%2C27.5854%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C69.5856%2C27.5854%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C69.5856%2C27.5854%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0028,66.11091,-20.09427,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 66.11091, ""lon"": -20.09427, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C66.11091%2C-20.09427%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C66.11091%2C-20.09427%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C66.11091%2C-20.09427%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0031,66.0693,-19.14021,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 66.0693, ""lon"": -19.14021, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C66.0693%2C-19.14021%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C66.0693%2C-19.14021%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C66.0693%2C-19.14021%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0050,65.53083,34.70589,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 65.53083, ""lon"": 34.70589, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C65.53083%2C34.70589%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C65.53083%2C34.70589%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C65.53083%2C34.70589%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0067,64.71699,177.50497,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 64.71699, ""lon"": 177.50497, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C64.71699%2C177.50497%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C64.71699%2C177.50497%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C64.71699%2C177.50497%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0084,64.08018,-51.01237,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 64.08018, ""lon"": -51.01237, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C64.08018%2C-51.01237%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C64.08018%2C-51.01237%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C64.08018%2C-51.01237%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0091,63.89123,-21.30293,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 63.89123, ""lon"": -21.30293, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C63.89123%2C-21.30293%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C63.89123%2C-21.30293%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C63.89123%2C-21.30293%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0093,62.3147,-150.0625,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 62.3147, ""lon"": -150.0625, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C62.3147%2C-150.0625%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C62.3147%2C-150.0625%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C62.3147%2C-150.0625%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0097,61.75867,34.46461,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 61.75867, ""lon"": 34.46461, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C61.75867%2C34.46461%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C61.75867%2C34.46461%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C61.75867%2C34.46461%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
