"sample_id","Population.name","population.abbreviation","Latitude","Longitude","Ecotype"
"S0001","Barents Sea pelagic","BAR","72.5801","37.0803","marine"
"S0002","Pulmankijaervi (Kevo)","PUL2","69.5856","27.5854","freshwater"
"S0003","Chukchi Sea Pelagic","CHUK","67.25318","-164.73667","marine"
"S0004","Lake Voronye","VORO","66.93985","32.3968","freshwater"
"S0005","Lake Belaya Guba","BEGU","66.91149","32.45812","freshwater"
"S0006","Lake Lower Zhabotye","LOZH","66.76159","32.8006","freshwater"
"S0007","Lake Rainy","RAIN","66.75711","32.68761","freshwater"
"S0008","Lake Upper Zhabochye ","UPZH","66.75346","32.81781","freshwater"
"S0009","Lake Tyrion Lannister","TYLA","66.72211","32.76063","freshwater"
"S0010","Saint-Hilaire Lake","SHL","66.7183","32.8553","freshwater"
"S0011","Lake Marcy","MARC","66.60238","33.25321","freshwater"
"S0012","Lake Upper Kumyazhye","UPKU","66.56601","33.29046","freshwater"
"S0013","Lake Yeremeyevskoye","YERE","66.564","33.11097","freshwater"
"S0014","Lake Lower Kumyazhye","LOKU","66.56219","33.32548","freshwater"
"S0015","Lake Lobanevskoe","LOBA","66.56172","33.22108","freshwater"
"S0016","Great Salma Strait","GSAS","66.55347","33.10461","freshwater"
"S0017","Lake Nilma","NILM","66.49139","33.09711","freshwater"
"S0018","Lake Elovoe","ELOV","66.48317","33.26028","freshwater"
"S0019","Lake Black","BLAC","66.43906","33.56608","freshwater"
"S0020","Seldianaya Inlet","WSSE","66.33808","33.62239","marine"
"S0021","Lake New Machine","NEMA","66.29856","33.34402","freshwater"
"S0022","Goreloye Lake","WSGO","66.2979","33.6271","freshwater"
"S0023","Lake Mashinnoye","MSHI","66.29589","33.36383","freshwater"
"S0024","Keret River ","KER","66.2728","33.5546","freshwater"
"S0025","Lake Maryino (Sonozero)","MARY","66.17569","34.1459","freshwater"
"S0026","Lake Canon","CANO","66.16363","34.13449","freshwater"
"S0027","Lonsos Lon","LONSOS","66.1185","-16.94761","marine"
"S0028","Unnamed5_northwest_of_Skagafjörður","ISI","66.11091","-20.09427","marine-freshwater"
"S0029","Steinatjörn","ISJ","66.10078","-20.11658","freshwater"
"S0030","Neðstavatn","ISS","66.09797","-20.12701","freshwater"
"S0031","Hópsvatn","ISU_ISUB","66.0693","-19.14021","freshwater"
"S0032","Húsavík Harbour","ISAO_marine","66.04633","-17.34651","marine"
"S0033","Höfðavatn","ISE_ISES_ISF","65.97431","-19.41246","marine-freshwater"
"S0034","Álftavatn","ISH","65.97389","-19.95157","freshwater"
"S0035","Grettislaug ","GRET ","65.88258","-19.73697","freshwater"
"S0036","Nypslon ","NYPS ","65.7719","-14.83503","marine"
"S0037","Nýpslón ","NYPS ","65.7719","-14.83503","marine"
"S0038","Sauðá","ISA","65.73879","-19.62417","freshwater"
"S0039","Austari-Héraðsvötn","ISB_ISD_ISL","65.73805","-19.41233","marine-freshwater"
"S0040","Tjörn","ISC","65.73756","-19.61436","freshwater"
"S0041","Unnamed1_lake","IST","65.69816","-20.24779","freshwater"
"S0042","Mývatn-lava","MYV (lava)","65.63329","-16.9233","freshwater"
"S0043","Sandvatn","ISAJ_ISAG_ISAH_ISAI","65.62651","-17.09032","freshwater"
"S0044","Mývatn-mud","MYV (mud)","65.62159","-16.95039","freshwater"
"S0045","Laxá","ISAN_ISAP_ISAQ","65.59088","-17.16083","freshwater"
"S0046","Grænilækur","ISAF","65.56153","-16.99987","freshwater"
"S0047","Húseyjarkvísl","ISK","65.55381","-19.43955","freshwater"
"S0048","Sigurðarstaðavatn","ISO","65.54625","-20.65541","marine"
"S0049","Kráká","ISAD_ISAE","65.53615","-17.06107","freshwater"
"S0050","Lake Verkhneye Morzhovoe","VEMO","65.53083","34.70589","freshwater"
"S0051","Vatnsdalsá/Hnausakvísl","ISX","65.50632","-20.36233","freshwater"
"S0052","Flóðið","FLOD","65.49086","-20.35989","freshwater"
"S0053","Vatnsdalsá","ISV","65.47229","-20.3372","freshwater"
"S0054","Vesturhópsvatn","ISN","65.44836","-20.64462","freshwater"
"S0055","Bæjarlækjartjörn","ISM","65.42152","-20.66551","freshwater"
"S0056","Eidarvatn ","EIDA ","65.38813","-14.35998","freshwater"
"S0057","Urriðavatn","URR2 ","65.29985","-14.45606","freshwater"
